trip_id,taxi_id,pickup_time,dropoff_time,seconds,miles,pickup_census,dropoff_census,pickup_area,dropoff_area,fare,tips,tolls,extras,total,payment,company,pickup_latitude,pickup_longitude,pickup_centroid,dropoff_latitude,dropoff_longitude,dropoff_centroid,pickup_region,dropoff_region,AbsDistance,RRSL,AbsVelocity,AclVelocity,RRVV,AbsTime,RRST,pickup_hr,weekday
965857,185,2013-03-14 13:15:00,2013-03-14 13:30:00,720.0,1.9,17031081100,17031839100,8.0,32.0,8.44,0.0,0.0,1.0,9.44,Cash,,41.900221297,-87.629105186,"(41.900221, -87.629105)",41.880994471,-87.632746489,"(41.880994, -87.632746)",Central,Central,1.340196810868347,1.4177022244732416,6.700984054341735,9.499999999999998,1.4177022244732416,720.0,1.0,4,4
968116,1628,2013-07-31 10:45:00,2013-07-31 10:45:00,420.0,1.6,0,0,,,6.85,2.0,0.0,1.0,9.85,Credit Card,,,,"(0, 0)",,,"(0, 0)",None,None,0.0,inf,0.0,13.714285714285715,inf,,,3,3
970028,1842,2013-04-13 10:30:00,2013-04-13 10:30:00,60.0,0.0,0,0,24.0,24.0,3.45,0.0,0.0,0.0,3.45,Cash,Taxi Affiliation Services,41.901206994,-87.676355989,"(41.901207, -87.676356)",41.901206994,-87.676355989,"(41.901207, -87.676356)",West Side,West Side,0.0,,0.0,0.0,,,,3,6
970677,2458,2013-05-09 11:00:00,2013-05-09 11:00:00,420.0,1.2,17031081500,17031842200,8.0,8.0,6.25,3.0,0.0,0.0,9.25,Credit Card,Dispatch Taxi Affiliation,41.892507781,-87.626214906,"(41.892508, -87.626215)",41.904935302,-87.64990722600002,"(41.904935, -87.649907)",Central,Central,1.4926334466737847,0.8039482182809884,12.794000971489583,10.285714285714285,0.8039482182809884,420.0,1.0,3,4
978520,1356,2013-10-10 15:30:00,2013-10-10 17:00:00,5160.0,16.8,17031980000,17031081201,76.0,8.0,42.05,11.01,0.0,2.0,55.06,Credit Card,,41.97907082,-87.90303966100002,"(41.979071, -87.90304)",41.899155613000005,-87.626210532,"(41.899156, -87.626211)",Far North Side,Central,15.294166716976571,1.0984580141494045,10.670348872309235,11.720930232558139,1.0984580141494045,5160.0,1.0,4,4
1002028,1821,2013-01-27 15:00:00,2013-01-27 15:00:00,480.0,0.0,17031281900,17031081700,28.0,8.0,7.25,2.0,0.0,1.0,10.25,Credit Card,Taxi Affiliation Services,41.879255084,-87.642648998,"(41.879255, -87.642649)",41.892042136,-87.63186395,"(41.892042, -87.631864)",West Side,Central,1.0431703505537138,0.0,7.823777629152853,0.0,0.0,480.0,1.0,4,7
1003629,975,2013-06-04 09:15:00,2013-06-04 09:15:00,660.0,0.0,17031081500,17031841000,8.0,33.0,9.25,2.0,0.0,0.0,11.25,Credit Card,Taxi Affiliation Services,41.892507781,-87.626214906,"(41.892508, -87.626215)",41.849246754,-87.624135298,"(41.849247, -87.624135)",Central,Central,2.9876363392840686,0.0,16.29619821427674,0.0,0.0,660.0,1.0,2,2
1138480,2909,2013-03-02 09:30:00,2013-03-02 09:45:00,1080.0,3.4,0,0,,,12.25,0.0,0.0,0.0,12.25,Cash,,,,"(0, 0)",,,"(0, 0)",None,None,0.0,inf,0.0,11.333333333333334,inf,,,2,6
1138525,1483,2013-09-02 15:15:00,2013-09-02 15:30:00,780.0,2.7,0,0,7.0,24.0,9.85,0.0,0.0,1.0,10.85,Cash,,41.922686284,-87.649488729,"(41.922686, -87.649489)",41.901206994,-87.676355989,"(41.901207, -87.676356)",North Side,West Side,2.028766341063575,1.3308580418307479,9.36353695875496,12.461538461538462,1.3308580418307479,780.0,1.0,4,1
1158246,1367,2013-06-15 20:15:00,2013-06-15 20:30:00,1020.0,14.4,17031980000,0,76.0,,29.65,0.0,0.0,3.0,32.65,Cash,,41.97907082,-87.90303966100002,"(41.979071, -87.90304)",,,"(0, 0)",Far North Side,None,6112.73308744383,0.0023557383896867755,21574.352073331167,50.82352941176471,0.0023557383896867755,1020.0,1.0,6,6
